Date,HomeTeam,AwayTeam,HomeSetsWon,AwaySetsWon,MatchDetailURL,Set1_HomeScore,Set2_HomeScore,Set3_HomeScore,Set4_HomeScore,Set5_HomeScore,Set1_AwayScore,Set2_AwayScore,Set3_AwayScore,Set4_AwayScore,Set5_AwayScore,HomeTotalPoints,AwayTotalPoints,Winner,Loser
"13 June 2024, Thursday",JPN,CAN,2,3,https://vnlw.volleystation.com/en/season/102/phase-1784-vnl-2024-women/matches/2145334/,25,25,20,21.0,14.0,23,22,25,25.0,16.0,105,111,CAN,JPN
"13 June 2024, Thursday",GER,BRA,1,3,https://vnlw.volleystation.com/en/season/102/phase-1784-vnl-2024-women/matches/2145336/,20,22,25,24.0,,25,25,21,26.0,,91,97,BRA,GER
"13 June 2024, Thursday",FRA,KOR,2,3,https://vnlw.volleystation.com/en/season/102/phase-1784-vnl-2024-women/matches/2145333/,23,25,25,22.0,13.0,25,21,17,25.0,15.0,108,103,KOR,FRA
"13 June 2024, Thursday",BUL,THA,2,3,https://vnlw.volleystation.com/en/season/102/phase-1784-vnl-2024-women/matches/2145335/,23,25,18,25.0,10.0,25,22,25,22.0,15.0,101,109,THA,BUL
"13 June 2024, Thursday",NED,USA,0,3,https://vnlw.volleystation.com/en/season/102/phase-1784-vnl-2024-women/matches/2145332/,21,20,22,,,25,25,25,,,63,75,USA,NED
"12 June 2024, Wednesday",BRA,POL,3,1,https://vnlw.volleystation.com/en/season/102/phase-1784-vnl-2024-women/matches/2145331/,22,25,25,25.0,,25,17,17,16.0,,97,75,BRA,POL
"12 June 2024, Wednesday",KOR,JPN,0,3,https://vnlw.volleystation.com/en/season/102/phase-1784-vnl-2024-women/matches/2145329/,16,16,23,,,25,25,25,,,55,75,JPN,KOR
"12 June 2024, Wednesday",TUR,THA,3,0,https://vnlw.volleystation.com/en/season/102/phase-1784-vnl-2024-women/matches/2145330/,25,25,25,,,17,17,17,,,75,51,TUR,THA
"12 June 2024, Wednesday",NED,SRB,3,1,https://vnlw.volleystation.com/en/season/102/phase-1784-vnl-2024-women/matches/2145328/,25,25,18,25.0,,20,21,25,12.0,,93,78,NED,SRB
"11 June 2024, Tuesday",BUL,CHN,0,3,https://vnlw.volleystation.com/en/season/102/phase-1784-vnl-2024-women/matches/2145327/,15,12,17,,,25,25,25,,,44,75,CHN,BUL
"11 June 2024, Tuesday",ITA,CAN,3,0,https://vnlw.volleystation.com/en/season/102/phase-1784-vnl-2024-women/matches/2145325/,25,25,25,,,16,15,14,,,75,45,ITA,CAN
"11 June 2024, Tuesday",GER,DOM,1,3,https://vnlw.volleystation.com/en/season/102/phase-1784-vnl-2024-women/matches/2145326/,24,25,21,21.0,,26,21,25,25.0,,91,97,DOM,GER
